                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.65681,                 1.0626,                0.93396,                0.63767,                0.40094,                 0.4115,                0.30583,                 1.2632,                 3.1589,                 1.3218,             0.00096215,             0.00096215,             0.00096215
                     36,                0.63873,                 1.1325,                0.92628,                0.45643,                0.40594,                 0.3807,                0.28457,                 1.1768,                 2.9138,                 1.2437,               0.000948,               0.000948,               0.000948
                     37,                0.66001,                 1.0603,                0.92737,                0.46217,                0.37359,                 0.3976,                0.31001,                 1.0473,                 2.8044,                 1.1402,             0.00093385,             0.00093385,             0.00093385
                     38,                0.62726,                0.95937,                0.92982,                0.54655,                0.39066,                0.38597,                0.30979,                 1.0163,                 2.7294,                 1.1143,              0.0009197,              0.0009197,              0.0009197
                     39,                0.60235,                0.96442,                0.90863,                0.58252,                0.40699,                0.47774,                0.35723,                0.97928,                 2.9274,                  1.092,             0.00090556,             0.00090556,             0.00090556
                     40,                0.63101,                  1.016,                0.91192,                0.46773,                0.51964,                0.47229,                0.35457,                0.90946,                 3.6539,                 1.0717,             0.00089141,             0.00089141,             0.00089141
                     41,                0.53872,                 0.8763,                0.88791,                0.52143,                0.50814,                0.48526,                 0.3748,                0.91471,                 4.2861,                 1.0724,             0.00087726,             0.00087726,             0.00087726
                     42,                0.55475,                0.86681,                0.89861,                0.43878,                0.60407,                0.48405,                0.35771,                0.90933,                 4.1714,                 1.0736,             0.00086312,             0.00086312,             0.00086312
                     43,                0.60129,                0.96864,                0.92384,                0.55882,                0.51277,                0.45499,                0.33581,                0.95199,                 3.8754,                 1.1069,             0.00084897,             0.00084897,             0.00084897
                     44,                0.60751,                0.90823,                0.89618,                0.46788,                0.53523,                0.44869,                0.32734,                 0.9541,                 3.4922,                 1.1078,             0.00083482,             0.00083482,             0.00083482
                     45,                0.62843,                 0.9722,                0.93315,                0.50575,                0.53112,                 0.4307,                0.32995,                 0.9614,                 3.0801,                 1.1303,             0.00082067,             0.00082067,             0.00082067
                     46,                0.60994,                0.94728,                0.91423,                0.60937,                0.44711,                0.49283,                0.39075,                0.97502,                 2.9106,                 1.1361,             0.00080653,             0.00080653,             0.00080653
                     47,                0.59298,                0.92213,                 0.9116,                0.43195,                0.57149,                0.46508,                0.37528,                0.99977,                 2.6994,                 1.1609,             0.00079238,             0.00079238,             0.00079238
                     48,                0.63483,                0.92425,                 0.8759,                0.60409,                0.41551,                0.47156,                0.37371,                0.99222,                 2.3793,                 1.1379,             0.00077823,             0.00077823,             0.00077823
                     49,                0.64086,                0.92922,                0.93573,                0.86512,                0.42855,                0.55716,                0.43313,                0.96626,                 2.1491,                 1.1134,             0.00076409,             0.00076409,             0.00076409
                     50,                0.51699,                0.79557,                0.87655,                 0.7047,                0.57014,                0.57159,                0.43982,                0.95819,                 2.0958,                 1.1134,             0.00074994,             0.00074994,             0.00074994
                     51,                0.57864,                 0.8529,                0.89972,                0.78272,                0.50559,                0.56507,                0.42536,                0.96435,                  2.116,                 1.1139,             0.00073579,             0.00073579,             0.00073579
                     52,                0.53169,                0.85286,                0.88078,                0.74674,                0.48061,                0.54472,                0.41161,                0.95002,                 2.1536,                 1.1113,             0.00072164,             0.00072164,             0.00072164
                     53,                0.57785,                0.82315,                0.90277,                0.69424,                0.43407,                0.51542,                0.38979,                0.96573,                 2.1889,                 1.1148,              0.0007075,              0.0007075,              0.0007075
                     54,                0.57461,                0.81797,                0.92537,                 0.7344,                0.42257,                0.51026,                0.39555,                0.93804,                 2.1739,                 1.1048,             0.00069335,             0.00069335,             0.00069335
